Temperature	Energy	Magnetization	specific-Heat	susceptibility
1.510	-0.567	0.004	1.680	1.037
1.520	-0.558	0.008	1.484	0.963
1.530	-0.552	0.010	1.689	0.985
1.540	-0.557	0.010	1.337	0.886
1.550	-0.549	0.010	1.610	0.941
1.560	-0.549	0.008	1.534	0.959
1.570	-0.530	0.008	1.481	0.966
1.580	-0.551	0.008	1.387	0.945
1.590	-0.530	0.005	1.501	0.975
1.600	-0.526	0.006	1.331	0.852
1.610	-0.521	0.010	1.259	0.863
1.620	-0.525	0.002	1.376	0.882
1.630	-0.534	0.009	1.311	0.927
1.640	-0.538	0.007	1.216	0.865
1.650	-0.517	0.006	1.070	0.862
1.660	-0.511	0.006	1.212	0.879
1.670	-0.509	0.003	1.182	0.885
1.680	-0.517	0.009	1.209	0.863
1.690	-0.510	0.011	1.162	0.814
1.700	-0.520	0.007	1.071	0.783
1.710	-0.513	0.009	1.021	0.747
1.720	-0.497	0.001	1.027	0.816
1.730	-0.494	0.010	1.058	0.832
1.740	-0.506	0.009	1.068	0.797
1.750	-0.492	0.007	1.131	0.909
1.760	-0.502	0.003	0.972	0.814
1.770	-0.501	0.010	1.096	0.783
1.780	-0.488	0.008	1.046	0.841
1.790	-0.511	0.007	0.965	0.829
1.800	-0.492	0.010	0.938	0.827
1.810	-0.488	0.006	1.106	0.934
1.820	-0.506	0.008	0.954	0.789
1.830	-0.486	0.011	0.970	0.836
1.840	-0.487	0.008	0.840	0.802
1.850	-0.472	0.006	0.830	0.820
1.860	-0.478	0.011	0.902	0.765
1.870	-0.473	0.011	0.844	0.744
1.880	-0.473	0.009	0.869	0.767
1.890	-0.467	0.010	0.903	0.781
1.900	-0.461	0.011	0.816	0.784
1.910	-0.458	0.009	0.859	0.827
1.920	-0.455	0.009	0.805	0.820
1.930	-0.470	0.017	0.770	0.796
1.940	-0.450	0.015	0.814	0.775
1.950	-0.461	0.012	0.792	0.761
1.960	-0.468	0.010	0.767	0.732
1.970	-0.441	0.016	0.694	0.820
1.980	-0.448	0.010	0.813	0.741
1.990	-0.448	0.014	0.661	0.717
2.000	-0.446	0.012	0.828	0.733
